Iteration	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
580	-334.816	-192.2394	-142.5766	3242.228	0.1605109	3037.411	0.000148974	0.977766	0.99421	1.00561	1.02241	0.1574094	2978.301	2219.077	2279.142	2472.303	2508.265	2308.24	2403.694	2300.425	2305.789	2400.983
590	-333.8237	-192.0272	-141.7965	116909.3	0.1646061	3031.971	0.0002031463	0.996285	0.999048	1.00095	1.00372	0.1638724	2962.164	2216.117	2337.744	2445.202	2514.786	2213.521	2391.528	2289.144	2262.656	2385.522
600	-326.3904	-192.2553	-134.1351	959552.8	0.1690668	3009.338	0.0001239216	0.998703	0.999668	1.00033	1.0013	0.167825	2977.61	2215.423	2269.526	2459.63	2513.529	2144.267	2393.865	2250.925	2278.384	2424.659
610	-322.7446	-192.2394	-130.5052	849659.7	0.1661938	2997.341	0.0002817125	0.998621	0.999647	1.00035	1.00138	0.1658352	2950.38	2251.721	2331.321	2439.893	2519.906	2312.308	2403.794	2353.589	2289.761	2386.443
620	-325.6254	-192.2394	-133.3859	956616.7	0.1624757	2992.842	0.000431746	0.998701	0.999668	1.00033	1.0013	0.1610426	2970.335	2258.936	2315.806	2457.462	2512.51	2314.991	2398.199	2306.888	2348.661	2417.947
630	-324.7914	-192.2395	-132.5519	998920.4	0.1681303	3019.269	0.000352163	0.998728	0.999675	1.00032	1.00127	0.1714494	2967.409	2210.401	2322.427	2467.926	2508.93	2153.387	2401.038	2280.555	2346.597	2418.794
640	-329.7351	-192.2394	-137.4957	720292.1	0.1725439	3074.039	0.0003292493	0.998503	0.999617	1.00038	1.0015	0.1751597	2979.321	2255.812	2303.92	2445.064	2539.524	2177.604	2396.234	2275.661	2266.765	2410.181
650	-331.6623	-192.2394	-139.4229	641024.3	0.1779685	3045.472	0.0001307528	0.998413	0.999594	1.00041	1.00159	0.1794756	2951.133	2274.72	2278.853	2445.315	2533.737	2201.612	2399.726	2263.371	2330.193	2412.273
660	-330.3429	-192.2394	-138.1035	597768.7	0.174825	3009.131	0.0001723057	0.998356	0.99958	1.00042	1.00164	0.1719461	2957.02	2225.167	2338.71	2434.125	2525.585	2316.073	2405.493	2360.502	2301.953	2393.131
670	-342.6752	-192.2394	-150.4358	696179.4	0.163984	2982.686	0.0003176012	0.998477	0.99961	1.00039	1.00152	0.1682867	2951.239	2239.597	2318.953	2438.094	2512.062	2160.182	2391.163	2357.581	2333.733	2388.483
680	-333.9311	-192.2394	-141.6916	809507.8	0.1629069	2997.846	0.0001395303	0.998588	0.999639	1.00036	1.00141	0.160451	2964.127	2233.259	2346.89	2458.782	2514.696	2185.646	2406.689	2356.218	2337.577	2379.856
690	-326.7816	-192.3332	-134.4484	810762.8	0.1655556	3037.652	0.0001267504	0.998589	0.999639	1.00036	1.00141	0.1629561	2964.108	2217.087	2294.301	2469.663	2529.409	2143.768	2407.663	2319.933	2289.453	2422.894
700	-329.176	-192.3658	-136.8102	935528.8	0.1709177	3059.067	0.0001509123	0.998686	0.999664	1.00034	1.00131	0.1705781	2958.869	2249.522	2312.682	2431.771	2505.985	2146.012	2399.681	2362.591	2325.872	2400.725
710	-334.6864	-192.2394	-142.4469	39215.38	0.1599149	3030.687	0.0001464233	0.993589	0.998353	1.00163	1.00643	0.160528	2961.761	2235.166	2334.014	2468.602	2515.134	2128.902	2406.86	2369.062	2324.412	2402.588
720	-330.3802	-192.2394	-138.1408	398935.1	0.164903	2992.063	0.0002226318	0.997988	0.999485	1.00051	1.00201	0.1665915	2961.913	2227.016	2254.61	2457.905	2513.966	2167.966	2408.278	2307.03	2307.023	2399.447
730	-338.4195	-192.2394	-146.1801	331484.4	0.1676131	2983.53	0.0003182925	0.997793	0.999435	1.00056	1.00221	0.1686921	2976.153	2210.865	2253.721	2471.189	2508.029	2257.385	2407.596	2301.046	2312.039	2421.488
740	-336.902	-191.9636	-144.9383	237613.6	0.1703868	3068.2	0.000152324	0.997394	0.999333	1.00066	1.00261	0.1688919	2961.789	2245.299	2279.365	2447.094	2519.991	2243.806	2404.519	2260.861	2305.328	2419.914
750	-328.473	-192.2394	-136.2336	219157.9	0.1689573	2992.578	0.0002503112	0.997286	0.999305	1.00069	1.00272	0.167983	2965.649	2230.56	2338.985	2433.004	2507.214	2200.318	2408.556	2352.628	2311.904	2407.477
760	-325.5986	-192.2519	-133.3467	504647.4	0.165833	3062.941	0.0003195019	0.998211	0.999542	1.00046	1.00179	0.1685607	2961.166	2264.12	2299.626	2453.302	2549.299	2308.546	2393.749	2300.955	2344.604	2378.292
770	-329.0214	-192.2394	-136.7819	718936.3	0.1657921	3069.634	0.00030823	0.998501	0.999617	1.00038	1.0015	0.1673768	2950.254	2251.046	2280.121	2427.218	2519.454	2320.181	2405.869	2323.873	2334.618	2422.216
780	-326.4171	-192.2394	-134.1776	618618.9	0.1597336	3092.475	0.0002559298	0.998384	0.999587	1.00041	1.00162	0.1539256	2967.172	2262.076	2288.207	2445.527	2512.438	2202.706	2409.202	2340.303	2284.441	2410.514
790	-330.9494	-192.2384	-138.7111	462281.5	0.1587003	3092.888	0.0002639111	0.998131	0.999522	1.00048	1.00187	0.161566	2965.711	2251.565	2294.009	2467.593	2509.671	2241.887	2396.35	2335.572	2290.709	2404.07
800	-320.3368	-192.2404	-128.0964	95796.57	0.1545238	3085.471	0.0002881174	0.995896	0.998948	1.00105	1.00411	0.1567911	2964.871	2264.605	2337.152	2471.427	2512.735	2125.849	2393.775	2322.601	2298.49	2390.151
810	-337.4059	-192.2394	-145.1665	982025.9	0.1582784	3012.406	0.0002003788	0.998718	0.999672	1.00033	1.00128	0.1538924	2968.668	2267.907	2348.423	2439.407	2526.429	2211.311	2404.882	2334.808	2278.079	2377.271
820	-332.357	-192.2394	-140.1175	569376.2	0.150601	3064.571	0.0001446171	0.998316	0.999569	1.00043	1.00169	0.146026	2960.605	2244.425	2347.9	2443.944	2530.912	2274.521	2406.089	2308.621	2346.776	2395.803
830	-325.6833	-192.2407	-133.4426	2842.281	0.1520386	2990.396	0.0003276012	0.976259	0.99381	1.00599	1.02394	0.1516584	2955.166	2250.05	2281.119	2431.458	2546.523	2174.085	2401.379	2267.061	2341.819	2387.382
840	-329.4634	-192.2394	-137.224	122943.7	0.1554833	3060.807	0.0003354832	0.996377	0.999072	1.00092	1.00363	0.1559693	2975.384	2254.793	2346.895	2437.7	2519.061	2166.572	2408.22	2306.327	2300.536	2393.617
850	-331.359	-192.2407	-139.1183	505564.5	0.1657147	3063.632	0.000127821	0.998213	0.999543	1.00046	1.00179	0.1595846	2962.229	2231.308	2280.263	2437.675	2547.392	2320.259	2402.796	2359.894	2294.615	2407.51
