Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
54	0	-328.5041	-192.2394	-136.2647	772719.5	0.1970092	3002.586	0.0001521894	0.998554	0.99963	1.00037	1.00145	0.1927092	2966.407	2215.324	2336.927	2460.589	2529	2300.51	2409.043	2271.653	2318.065	2388.619
55	1	-321.2134	-192.2394	-128.974	768433.8	0.1333215	3005.474	0.000475539	0.99855	0.999629	1.00037	1.00145	0.1355737	2977.445	2227.436	2346.945	2459.409	2501.635	2283.118	2394.989	2335.06	2324.266	2390.087
56	0	-328.3112	-192.2394	-136.0717	48047.91	0.1832972	3050.35	0.0001965573	0.994207	0.998513	1.00148	1.0058	0.185605	2972.087	2238.303	2322.038	2448.965	2500.552	2153.443	2400.808	2275.661	2321.553	2393.273
57	1	-325.4044	-192.2383	-133.1662	23454.1	0.1316897	2996.761	0.0005705713	0.991712	0.997868	1.00211	1.00831	0.1253694	2962.271	2255.271	2307.782	2445.111	2528.872	2149.698	2408.619	2262.556	2320.626	2416.998
58	0	-333.089	-192.2394	-140.8495	586293.6	0.1848733	2989.744	0.0001817326	0.99834	0.999576	1.00042	1.00166	0.1843504	2975.645	2257.143	2311.387	2462.779	2524.999	2195.577	2402.221	2341.29	2309.847	2406.963
59	1	-330.863	-192.2394	-138.6236	741243.1	0.1292167	3061.869	0.0001332893	0.998524	0.999623	1.00038	1.00148	0.1298466	2971.046	2260.249	2289.727	2447.623	2520.671	2143.568	2404.803	2279.863	2269.181	2382.843
60	0	-328.1653	-192.2394	-135.9258	800764.4	0.1822502	3048.286	0.0001874135	0.99858	0.999637	1.00036	1.00142	0.1835156	2969.329	2229.222	2339.105	2462.273	2506.41	2129.201	2401.745	2336.818	2345.432	2418.819
61	1	-331.1588	-192.2394	-138.9194	904027.1	0.1263005	3078.989	0.0003568301	0.998663	0.999658	1.00034	1.00134	0.1264612	2952.388	2227.879	2303.817	2441.846	2500.651	2321.691	2391.078	2310.906	2324.946	2375.414
62	0	-327.1731	-192.2394	-134.9337	384711.2	0.1703123	3013.892	0.0003000722	0.997951	0.999476	1.00052	1.00205	0.1760128	2956.412	2220.345	2303.754	2432.444	2508.935	2273.04	2407.162	2299.811	2345.807	2403.747
63	1	-331.3539	-192.2394	-139.1144	21406.38	0.1405135	3043.399	0.0001569759	0.991326	0.997768	1.00221	1.0087	0.1330121	2960.287	2222.851	2290.948	2443.788	2500.473	2131.998	2395.23	2260.557	2260.385	2375.444
64	0	-326.8978	-192.2392	-134.6586	302539	0.1742926	2998.332	0.0002416349	0.99769	0.999409	1.00059	1.00231	0.1747322	2973.806	2234.294	2344.028	2465.188	2500.658	2258.246	2403.195	2270.647	2298.293	2412.358
65	1	-326.5305	-192.2394	-134.2911	388867	0.1409574	3068.911	0.0002188787	0.997962	0.999479	1.00052	1.00204	0.1421926	2978.351	2249.843	2295.696	2453.106	2525.546	2194.542	2402.289	2354.325	2324.642	2422.18
66	0	-333.6463	-192.2394	-141.4069	75855.22	0.1661751	3034.416	0.000140206	0.995389	0.998817	1.00118	1.00462	0.1682241	2977.023	2243.553	2330.615	2468.709	2513.064	2271.457	2406.026	2343.498	2334.437	2383.26
67	1	-326.8354	-192.2394	-134.596	671745.4	0.1454967	3040.218	0.0002387755	0.99845	0.999603	1.0004	1.00155	0.1448251	2974.584	2274.769	2343.077	2429.804	2531.256	2144.795	2408.408	2316.779	2338.214	2378.055
68	0	-329.188	-192.2394	-136.9485	712226.9	0.1669103	3061.267	0.0001575867	0.998494	0.999615	1.00038	1.00151	0.1646605	2950.552	2263.416	2290.692	2455.638	2504.082	2175.337	2396.272	2318.229	2315.108	2389.261
69	1	-330.8003	-192.2394	-138.5608	601725.9	0.1366138	3094.755	0.0002642516	0.998362	0.999581	1.00042	1.00164	0.1401235	2978.104	2232.753	2302.202	2469.257	2525.704	2217.476	2408.599	2304.149	2304.666	2404.06
70	0	-328.6985	-192.2394	-136.459	437263.2	0.1576428	3080.003	0.0001003938	0.998078	0.999508	1.00049	1.00192	0.1560984	2960.442	2218.076	2277.928	2456.436	2529.332	2178.216	2399.337	2352.658	2313.853	2415.607
71	1	-330.3912	-192.2394	-138.1517	825732.3	0.1376685	2982.628	0.0002586369	0.998602	0.999642	1.00036	1.0014	0.1393023	2950.61	2251.547	2291.995	2431.454	2524.743	2298.467	2406.694	2330.617	2309.405	2412.603
72	0	-324.198	-192.2394	-131.9586	46258.17	0.1527416	3096.089	0.0002333301	0.994096	0.998484	1.0015	1.00592	0.1544685	2978.855	2250.899	2319.888	2455.885	2509.347	2138.001	2393.139	2343.696	2316.888	2419.935
73	1	-327.9338	-192.2394	-135.6944	337852.4	0.138409	3051.953	0.0003504775	0.997814	0.999441	1.00056	1.00219	0.1380837	2965.151	2250.623	2309.838	2458.542	2528.615	2201.103	2405.716	2286.848	2333.995	2396.989
